Код,Наименование,Категория,Махсулот,Размер,Ед изм,Модел булим
8814,FJ-6009-v3926,Американка-лафша,Чёрный лафша Американка женская,46-54,шт,Bahor - Yoz
8819,FJ-6009-v3928,Американка-лафша,Т-синий лафша американка,46-54,шт,Bahor - Yoz
8821,FJ-6009-v3925,Американка-лафша,Зелёный лафша американка,46-54,шт,Bahor - Yoz
8822,fj-6009-v3924,Американка-лафша,Коричневый лафша Американка,46-54,шт,Bahor - Yoz
6200,SJ-4026-v946,Анжелика,Роза голубой анжелика,44-54,шт,Bahor - Yoz
6203,SJ-4026-v945,Анжелика,Сердечка голубой анжелика,44-54,шт,Bahor - Yoz
6461,SJ-4029-v1186,Анжелика,Аклифай белый анжелика,46-56,шт,Bahor - Yoz
6647,SJ-4029-v1214,Анжелика,Зебра анжелика,44-54,шт,Bahor - Yoz
6781,SJ-4035-v1541,Анжелика,Роза молочный анжелика,44-54,шт,Bahor - Yoz
6782,sJ-4035-v1523,Анжелика,Роза белый анжелика,44-54,шт,Bahor - Yoz
6805,SJ-4035-v1539,Анжелика,Роза белый анжелика,44-54,шт,Bahor - Yoz
6811,SJ-4035-v1542,Анжелика,Розовый листь анжелика,44-54,шт,Bahor - Yoz
7000,sj-4028-v1828,Анжелика,Роза анжелика жаккард,44-52,шт,Bahor - Yoz
7073,SJ-4035-v1914,Анжелика,Молочный анжелика,44-52,шт,Bahor - Yoz
7188,sj-4035-v1954,Анжелика,Мини горох т-синий анжелика,44-54,шт,Bahor - Yoz
7191,SJ-4028-v2023,Анжелика,Роза кружева жаккард анжелика,44-52,шт,Bahor - Yoz
7195,SJ-4041-v1959,Анжелика,Кружева т-синий анжелика,44-54,шт,Bahor - Yoz
7362,SJ-4041-v2079,Анжелика,Чёрный анжелика,44-52,шт,Bahor - Yoz
7745,SJ-4035-v2695,Анжелика,Роза коричневый анжелика,44-54,шт,Bahor - Yoz
7774,SJ-4035-v1913,Анжелика,Роза анжелика,44-52,шт,Bahor - Yoz
7951,SJ-4035-v2691,Анжелика,Роза анжелика,44-54,шт,Bahor - Yoz
8112,SJ-4035-v3018,Анжелика,Роза анжелика,44-54,шт,Bahor - Yoz
8113,SJ-4035-v3049,Анжелика,Роза анжелика,44-52,шт,Bahor - Yoz
8277,SJ-4035-v3262,Анжелика,Роза зелёный анжелика,44-54,шт,Bahor - Yoz
8297,Sj-4035-v3318,Анжелика,Бантик супрем анжелика,44-54,шт,Bahor - Yoz
8192,Sj-4043-v3143,Анжелика-вискон,Зелённый вискон анжелика,44-54,шт,Bahor - Yoz
