"id","sourceRoutes","global","label","kind","destination","handler","disabled","file","line","evidence"
"C0001","/admin/audit-logs","false","Clear","filter/select/expand","","{resetFilters}","","frontend/src/app/(app)/admin/audit-logs/page.tsx","159","static source; conditional visibility and dynamic data require runtime QA"
"C0002","/admin/audit-logs","false","Hide details / Show details","open/close dialog","","{() => setOpenId(isOpen ? null : row.id)}","","frontend/src/app/(app)/admin/audit-logs/page.tsx","243","static source; conditional visibility and dynamic data require runtime QA"
"C0003","/admin/data","false","Refresh","local state / inspect handler","","{refreshAll}","","frontend/src/app/(app)/admin/data/page.tsx","205","static source; conditional visibility and dynamic data require runtime QA"
"C0004","/admin/data","false","table.label table.name table.row_count","filter/select/expand","","{() => setSelectedTable(table.name)}","","frontend/src/app/(app)/admin/data/page.tsx","236","static source; conditional visibility and dynamic data require runtime QA"
"C0005","/admin/data","false","Form submission","filter/select/expand","","{submitSearch}","","frontend/src/app/(app)/admin/data/page.tsx","272","static source; conditional visibility and dynamic data require runtime QA"
"C0006","/admin/data","false","Search","submit form","","","","frontend/src/app/(app)/admin/data/page.tsx","279","static source; conditional visibility and dynamic data require runtime QA"
"C0007","/admin/data","false","Edit","local state / inspect handler","","{() => openEdit(row)}","","frontend/src/app/(app)/admin/data/page.tsx","312","static source; conditional visibility and dynamic data require runtime QA"
"C0008","/admin/data","false","Delete","local state / inspect handler","","{() => setDeleting(row)}","","frontend/src/app/(app)/admin/data/page.tsx","315","static source; conditional visibility and dynamic data require runtime QA"
"C0009","/admin/data","false","Previous","filter/select/expand","","{() => setPage((current) => Math.max(1, current - 1))}","page <= 1","frontend/src/app/(app)/admin/data/page.tsx","339","static source; conditional visibility and dynamic data require runtime QA"
"C0010","/admin/data","false","Next","filter/select/expand","","{() => setPage((current) => current + 1)}","page >= totalPages","frontend/src/app/(app)/admin/data/page.tsx","343","static source; conditional visibility and dynamic data require runtime QA"
"C0011","/admin/data","false","Form submission","save/change data","","{saveEdit}","","frontend/src/app/(app)/admin/data/page.tsx","352","static source; conditional visibility and dynamic data require runtime QA"
"C0012","/admin/data","false","NULL","local state / inspect handler","","{() => setDraft((current) => ({ ...current, [column.name]: null }))}","","frontend/src/app/(app)/admin/data/page.tsx","364","static source; conditional visibility and dynamic data require runtime QA"
"C0013","/admin/data","false","Cancel","local state / inspect handler","","{() => setEditing(null)}","","frontend/src/app/(app)/admin/data/page.tsx","402","static source; conditional visibility and dynamic data require runtime QA"
"C0014","/admin/data","false","Save","submit form","","","","frontend/src/app/(app)/admin/data/page.tsx","403","static source; conditional visibility and dynamic data require runtime QA"
"C0015","/admin/departments","false","Form submission","save/change data","","{submit}","","frontend/src/app/(app)/admin/departments/page.tsx","82","static source; conditional visibility and dynamic data require runtime QA"
"C0016","/admin/departments","false","Add","local state / inspect handler","","","","frontend/src/app/(app)/admin/departments/page.tsx","97","static source; conditional visibility and dynamic data require runtime QA"
"C0017","/admin/departments","false","Save","save/change data","","{() => saveEdit(d.id)}","","frontend/src/app/(app)/admin/departments/page.tsx","136","static source; conditional visibility and dynamic data require runtime QA"
"C0018","/admin/departments","false","Cancel","local state / inspect handler","","{() => setEditingId(null)}","","frontend/src/app/(app)/admin/departments/page.tsx","137","static source; conditional visibility and dynamic data require runtime QA"
"C0019","/admin/departments","false","Edit","local state / inspect handler","","{() => startEdit(d)}","","frontend/src/app/(app)/admin/departments/page.tsx","141","static source; conditional visibility and dynamic data require runtime QA"
"C0020","/admin/departments","false","Delete","local state / inspect handler","","{() => removeDepartment(d)}","","frontend/src/app/(app)/admin/departments/page.tsx","142","static source; conditional visibility and dynamic data require runtime QA"
"C0021","/admin/mcp","false","Copied / Copy","local state / inspect handler","","{onCopy}","","frontend/src/app/(app)/admin/mcp/page.tsx","48","static source; conditional visibility and dynamic data require runtime QA"
"C0022","/admin/mcp","false","Refresh","local state / inspect handler","","{() => mutate()}","","frontend/src/app/(app)/admin/mcp/page.tsx","108","static source; conditional visibility and dynamic data require runtime QA"
"C0023","/admin/users","false","Form submission","save/change data","","{create}","","frontend/src/app/(app)/admin/users/page.tsx","248","static source; conditional visibility and dynamic data require runtime QA"
"C0024","/admin/users","false","Create","local state / inspect handler","","","!createAccessReady","frontend/src/app/(app)/admin/users/page.tsx","273","static source; conditional visibility and dynamic data require runtime QA"
"C0025","/admin/users","false","restrictedAdminAccount ? Super Admin only : undefined","local state / inspect handler","","{() => openEdit(u)}","restrictedAdminAccount","frontend/src/app/(app)/admin/users/page.tsx","336","static source; conditional visibility and dynamic data require runtime QA"
"C0026","/admin/users","false","adminAccount && !canManageAdmins ? Super Admin only : undefined","local state / inspect handler","","{() => deleteUser(u)}","adminAccount && !canManageAdmins","frontend/src/app/(app)/admin/users/page.tsx","344","static source; conditional visibility and dynamic data require runtime QA"
"C0027","/admin/users","false","Form submission","save/change data","","{saveEdit}","","frontend/src/app/(app)/admin/users/page.tsx","361","static source; conditional visibility and dynamic data require runtime QA"
"C0028","/admin/users","false","Cancel","local state / inspect handler","","{() => setEditing(null)}","","frontend/src/app/(app)/admin/users/page.tsx","411","static source; conditional visibility and dynamic data require runtime QA"
"C0029","/admin/users","false","Save changes","submit form","","","!editAccessReady","frontend/src/app/(app)/admin/users/page.tsx","412","static source; conditional visibility and dynamic data require runtime QA"
"C0030","/attendance","false","Add attendance device","open/close dialog","","{() => { setDeviceError(""""); setDeviceOpen(true); }}","","frontend/src/app/(app)/attendance/page.tsx","272","static source; conditional visibility and dynamic data require runtime QA"
"C0031","/attendance","false","Loading... / Excel report","download/export","","{() => void downloadDailyReport()}","downloadingReport","frontend/src/app/(app)/attendance/page.tsx","276","static source; conditional visibility and dynamic data require runtime QA"
"C0032","/attendance","false","Refresh","local state / inspect handler","","{() => void mutate()}","isValidating","frontend/src/app/(app)/attendance/page.tsx","280","static source; conditional visibility and dynamic data require runtime QA"
"C0033","/attendance","false","Previous","filter/select/expand","","{() => setPage((value) => Math.max(1, value - 1))}","page <= 1","frontend/src/app/(app)/attendance/page.tsx","389","static source; conditional visibility and dynamic data require runtime QA"
"C0034","/attendance","false","Next","filter/select/expand","","{() => setPage((value) => value + 1)}","page >= data.pagination.pages","frontend/src/app/(app)/attendance/page.tsx","391","static source; conditional visibility and dynamic data require runtime QA"
"C0035","/attendance","false","Cancel","open/close dialog","","{() => setDeviceOpen(false)}","","frontend/src/app/(app)/attendance/page.tsx","413","static source; conditional visibility and dynamic data require runtime QA"
"C0036","/attendance","false","Saving... / Save and download setup","download/export","","{() => void addManagedDevice()}","deviceBusy","frontend/src/app/(app)/attendance/page.tsx","414","static source; conditional visibility and dynamic data require runtime QA"
"C0037","/brands","false","Form submission","save/change data","","{submit}","","frontend/src/app/(app)/brands/page.tsx","57","static source; conditional visibility and dynamic data require runtime QA"
"C0038","/brands","false","Create","local state / inspect handler","","","","frontend/src/app/(app)/brands/page.tsx","60","static source; conditional visibility and dynamic data require runtime QA"
"C0039","/brands","false","Edit","local state / inspect handler","","{() => openEdit(b)}","","frontend/src/app/(app)/brands/page.tsx","77","static source; conditional visibility and dynamic data require runtime QA"
"C0040","/brands","false","Form submission","save/change data","","{saveEdit}","","frontend/src/app/(app)/brands/page.tsx","86","static source; conditional visibility and dynamic data require runtime QA"
"C0041","/brands","false","Cancel","local state / inspect handler","","{() => setEditing(null)}","","frontend/src/app/(app)/brands/page.tsx","94","static source; conditional visibility and dynamic data require runtime QA"
"C0042","/brands","false","Save changes","submit form","","","","frontend/src/app/(app)/brands/page.tsx","95","static source; conditional visibility and dynamic data require runtime QA"
"C0043","/bundles","false","Scan","open page/link","/bundles/scan","","","frontend/src/app/(app)/bundles/page.tsx","80","static source; conditional visibility and dynamic data require runtime QA"
"C0044","/bundles","false","""[-]"" / ""[+]"" Order No : g.orderNo | Batch : g.batchLabel ` | ${Tracking passport}: ${g.trackingPassportNo}` / """" "" | "" Total : g.items.length Bundle | Qty : g.totalQty","open/close dialog","","{() => toggleGroup(g.key)}","","frontend/src/app/(app)/bundles/page.tsx","105","static source; conditional visibility and dynamic data require runtime QA"
"C0045","/bundles","false","Print all labels","local state / inspect handler","","{() => printGroupLabels(g)}","","frontend/src/app/(app)/bundles/page.tsx","116","static source; conditional visibility and dynamic data require runtime QA"
"C0046","/bundles","false","View","open page/link","`/bundles/${b.id}`","","","frontend/src/app/(app)/bundles/page.tsx","141","static source; conditional visibility and dynamic data require runtime QA"
"C0047","/bundles","false","Label","local state / inspect handler","","{() => api.openLabel(`/api/bundles/${b.id}/label`)}","","frontend/src/app/(app)/bundles/page.tsx","142","static source; conditional visibility and dynamic data require runtime QA"
"C0048","/bundles/[id]","false","Print label","local state / inspect handler","","{() => api.openLabel(`/api/bundles/${b.id}/label`)}","","frontend/src/app/(app)/bundles/[id]/page.tsx","22","static source; conditional visibility and dynamic data require runtime QA"
"C0049","/collections","false","Form submission","save/change data","","{submit}","","frontend/src/app/(app)/collections/page.tsx","73","static source; conditional visibility and dynamic data require runtime QA"
"C0050","/collections","false","Create","local state / inspect handler","","","","frontend/src/app/(app)/collections/page.tsx","81","static source; conditional visibility and dynamic data require runtime QA"
"C0051","/collections","false","Edit","local state / inspect handler","","{() => openEdit(c)}","","frontend/src/app/(app)/collections/page.tsx","99","static source; conditional visibility and dynamic data require runtime QA"
"C0052","/collections","false","Form submission","save/change data","","{saveEdit}","","frontend/src/app/(app)/collections/page.tsx","108","static source; conditional visibility and dynamic data require runtime QA"
"C0053","/collections","false","Cancel","local state / inspect handler","","{() => setEditing(null)}","","frontend/src/app/(app)/collections/page.tsx","136","static source; conditional visibility and dynamic data require runtime QA"
"C0054","/collections","false","Save changes","submit form","","","","frontend/src/app/(app)/collections/page.tsx","137","static source; conditional visibility and dynamic data require runtime QA"
"C0055","/customers","false","Form submission","save/change data","","{submit}","","frontend/src/app/(app)/customers/page.tsx","89","static source; conditional visibility and dynamic data require runtime QA"
"C0056","/customers","false","Add","local state / inspect handler","","","","frontend/src/app/(app)/customers/page.tsx","94","static source; conditional visibility and dynamic data require runtime QA"
"C0057","/customers","false","c.name","open page/link","`/customers/${c.id}`","","","frontend/src/app/(app)/customers/page.tsx","119","static source; conditional visibility and dynamic data require runtime QA"
"C0058","/customers","false","Edit","local state / inspect handler","","{() => openEdit(c)}","","frontend/src/app/(app)/customers/page.tsx","122","static source; conditional visibility and dynamic data require runtime QA"
"C0059","/customers","false","Delete","local state / inspect handler","","{() => deleteCustomer(c)}","","frontend/src/app/(app)/customers/page.tsx","123","static source; conditional visibility and dynamic data require runtime QA"
"C0060","/customers","false","Form submission","save/change data","","{saveEdit}","","frontend/src/app/(app)/customers/page.tsx","141","static source; conditional visibility and dynamic data require runtime QA"
"C0061","/customers","false","Cancel","local state / inspect handler","","{() => setEditing(null)}","","frontend/src/app/(app)/customers/page.tsx","151","static source; conditional visibility and dynamic data require runtime QA"
"C0062","/customers","false","Save changes","submit form","","","","frontend/src/app/(app)/customers/page.tsx","152","static source; conditional visibility and dynamic data require runtime QA"
"C0063","/customers/[id]","false","Form submission","save/change data","","{save}","","frontend/src/app/(app)/customers/[id]/page.tsx","361","static source; conditional visibility and dynamic data require runtime QA"
"C0064","/customers/[id]","false","Save","local state / inspect handler","","","","frontend/src/app/(app)/customers/[id]/page.tsx","370","static source; conditional visibility and dynamic data require runtime QA"
"C0065","/customers/[id]","false","formatOrderReference(o.order_no)","open page/link","`/sales-orders/${o.id}`","","","frontend/src/app/(app)/customers/[id]/page.tsx","424","static source; conditional visibility and dynamic data require runtime QA"
"C0066","/customers/[id]","false","Add payment","open/close dialog","","{() => openPayment(o)}","","frontend/src/app/(app)/customers/[id]/page.tsx","452","static source; conditional visibility and dynamic data require runtime QA"
"C0067","/customers/[id]","false","Add payment","open/close dialog","","{() => openPayment()}","","frontend/src/app/(app)/customers/[id]/page.tsx","468","static source; conditional visibility and dynamic data require runtime QA"
"C0068","/customers/[id]","false","formatOrderReference(payment.order_no)","open page/link","`/sales-orders/${payment.order_id}`","","","frontend/src/app/(app)/customers/[id]/page.tsx","493","static source; conditional visibility and dynamic data require runtime QA"
"C0069","/customers/[id]","false","Add payment","open/close dialog","","{() => openPayment()}","","frontend/src/app/(app)/customers/[id]/page.tsx","508","static source; conditional visibility and dynamic data require runtime QA"
"C0070","/customers/[id]","false","Form submission","open/close dialog","","{recordPayment}","","frontend/src/app/(app)/customers/[id]/page.tsx","523","static source; conditional visibility and dynamic data require runtime QA"
"C0071","/customers/[id]","false","Cancel","open/close dialog","","{() => setPaymentOpen(false)}","savingPayment","frontend/src/app/(app)/customers/[id]/page.tsx","588","static source; conditional visibility and dynamic data require runtime QA"
"C0072","/customers/[id]","false","Saving... / Save payment","local state / inspect handler","","","savingPayment","frontend/src/app/(app)/customers/[id]/page.tsx","589","static source; conditional visibility and dynamic data require runtime QA"
"C0073","/cutting/price-calculation","false","Edit","local state / inspect handler","","{() => beginEdit(request)}","isEditing || savingId === request.id","frontend/src/app/(app)/cutting/price-calculation/page.tsx","211","static source; conditional visibility and dynamic data require runtime QA"
"C0074","/cutting/price-calculation","false","Saving… / Save","save/change data","","{() => save(request)}","!isEditing || savingId === request.id","frontend/src/app/(app)/cutting/price-calculation/page.tsx","212","static source; conditional visibility and dynamic data require runtime QA"
"C0075","/cutting-inventory","false","Refresh","local state / inspect handler","","{() => mutate()}","","frontend/src/app/(app)/cutting-inventory/page.tsx","187","static source; conditional visibility and dynamic data require runtime QA"
"C0076","/cutting-inventory","false","Scan","open page/link","/bundles/scan/cutting","","","frontend/src/app/(app)/cutting-inventory/page.tsx","191","static source; conditional visibility and dynamic data require runtime QA"
"C0077","/cutting-inventory","false","Form submission","filter/select/expand","","{submitSearch}","","frontend/src/app/(app)/cutting-inventory/page.tsx","216","static source; conditional visibility and dynamic data require runtime QA"
"C0078","/cutting-inventory","false","Search","submit form","","","","frontend/src/app/(app)/cutting-inventory/page.tsx","226","static source; conditional visibility and dynamic data require runtime QA"
"C0079","/cutting-inventory","false","Clear","filter/select/expand","","{clearSearch}","","frontend/src/app/(app)/cutting-inventory/page.tsx","228","static source; conditional visibility and dynamic data require runtime QA"
"C0080","/cutting-inventory","false","<ChevronDown className=""h-4 w-4 shrink-0"" /> / <ChevronRight className=""h-4 w-4 shrink-0"" /> group.orderNo","open/close dialog","","{() => toggleGroup(group.key)}","","frontend/src/app/(app)/cutting-inventory/page.tsx","266","static source; conditional visibility and dynamic data require runtime QA"
