"label","destination","permissions","audience","superOnly","file","line"
"Process Tracking","/processes?factory=ECO","Additional role/factory rules","","","frontend/src/components/Sidebar.tsx","65"
"Fabric to Eco Cotton","/eco-fabric-transfers","[""inventory.eco_transfers""]","","","frontend/src/components/Sidebar.tsx","70"
"Fabric scan register","/fabric-scans","[""cutting.records"", ""cutting.bundles"", ""storage.receive"", ""storage.items"", ""planning.production"", ""management.view""]","","","frontend/src/components/Sidebar.tsx","75"
"Dashboard","/","Additional role/factory rules","","","frontend/src/components/Sidebar.tsx","81"
"Process Tracking","/processes","Additional role/factory rules","","","frontend/src/components/Sidebar.tsx","82"
"Traceability","/traceability","[""traceability.view"", ""*""]","","","frontend/src/components/Sidebar.tsx","83"
"nav.hrDashboard","/hr","[""hr.employees"", ""*""]","","","frontend/src/components/Sidebar.tsx","89"
"Price requests","/sales/price-requests","[""sales.orders""]","","","frontend/src/components/Sidebar.tsx","95"
"Sales Orders","/sales-orders","[""sales.orders""]","","","frontend/src/components/Sidebar.tsx","96"
"Order History","/order-history","[""sales.orders""]","","","frontend/src/components/Sidebar.tsx","97"
"Customers","/customers","[""sales.customers""]","","","frontend/src/components/Sidebar.tsx","98"
"Models","/models","[""modeling.models""]","","","frontend/src/components/Sidebar.tsx","104"
"Brands","/brands","[""modeling.brands""]","","","frontend/src/components/Sidebar.tsx","105"
"Collections","/collections","[""modeling.collections""]","","","frontend/src/components/Sidebar.tsx","106"
"Planning Dashboard","/planning","[""planning.view"", ""planning.production""]","","","frontend/src/components/Sidebar.tsx","112"
"Branded Stock Orders","/planning/branded-stock","[""planning.production""]","","","frontend/src/components/Sidebar.tsx","113"
"Forecasting","/forecasting","[""forecasting.view"", ""*""]","","","frontend/src/components/Sidebar.tsx","114"
"Production Orders","/production-orders","[""planning.production""]","","","frontend/src/components/Sidebar.tsx","115"
"Price requests","/purchasing/price-calculation","Additional role/factory rules","abbosbekPricing","","frontend/src/components/Sidebar.tsx","121"
"Purchase Requests","/purchasing","[""purchasing.view"", ""purchasing.request"", ""purchasing.approve"", ""purchasing.order"", ""*""]","","","frontend/src/components/Sidebar.tsx","122"
"Active Purchase Orders","/purchasing/receiving","[""purchasing.receive"", ""*""]","","","frontend/src/components/Sidebar.tsx","123"
"Accessory pricing","/inventory/accessory-pricing","Additional role/factory rules","accessoryPricing","","frontend/src/components/Sidebar.tsx","129"
"Material Inventory","/inventory?group=materials","[""storage.items"", ""storage.receive""]","","","frontend/src/components/Sidebar.tsx","130"
"Cutting fabric usage","/inventory/cutting-fabric-usage","[""storage.items"", ""storage.receive"", ""cutting.records"", ""planning.production""]","","","frontend/src/components/Sidebar.tsx","131"
